"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1032","@JornalOGlobo Dilma menospreza o povo e só pensa em se manter no poder.A saída do ministro da saúde em plena epidemia de zika é uma vergonha",FALSE,0,"JornalOGlobo",2016-02-17 09:50:16,FALSE,"699886333041491968","699893619612901377","54341363","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntonioSous",0,FALSE,FALSE,NA,NA
"1033","A ligação Lula-Dilma https://t.co/XPyeNXqfce https://t.co/nngpITjqmk",FALSE,0,NA,2016-02-17 09:50:13,FALSE,NA,"699893605230448641",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","DomingosSaraiva",0,FALSE,FALSE,NA,NA
"1034","A CARA DE PAU, ELA NÃO TEM FIM 
Dilma fará novo apelo ao Congresso pela aprovação da CPMF 
https://t.co/JfPmmgwjzI https://t.co/M1aAbAi8lp",FALSE,0,NA,2016-02-17 09:50:10,FALSE,NA,"699893592609918976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeversona4",2,FALSE,FALSE,NA,NA
"1035","RT @diogomainardi: A melhor forma de evitar que se use propina do petrolão nas eleições 2016 é cassando Dilma
https://t.co/CH4IIS77Ic https…",FALSE,0,NA,2016-02-17 09:50:09,FALSE,NA,"699893587329359872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaxBrasil2000",31,TRUE,FALSE,NA,NA
"1036","Não passa um dia, sem que apareça uma notícia ruim sobre esse projeto criminoso de poder.... Até onde vai? https://t.co/Q8RSmGhRYH",FALSE,0,NA,2016-02-17 09:49:56,FALSE,NA,"699893535793922048",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Furini",0,FALSE,FALSE,NA,NA
"1037","RT @NovaComunicar: Dilma aceita mudar regras do pré-sal A presidente Dilma Rousseff aceita rediscutir o papel da Petrobras na (cont) https:…",FALSE,0,NA,2016-02-17 09:49:50,FALSE,NA,"699893508690350080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","karlakuhim",3,TRUE,FALSE,NA,NA
"1038","RT @diogomainardi: A melhor forma de evitar que se use propina do petrolão nas eleições 2016 é cassando Dilma
https://t.co/CH4IIS77Ic https…",FALSE,0,NA,2016-02-17 09:49:49,FALSE,NA,"699893504466673665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cmessias7748",31,TRUE,FALSE,NA,NA
"1039","RT @carlossampaio_: Amigos, a Dilma se deu mal novamente! A defesa dela, feita pelo PT, queria que o TSE não aceitasse as provas da... http…",FALSE,0,NA,2016-02-17 09:49:43,FALSE,NA,"699893480307433472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Confiante3",17,TRUE,FALSE,NA,NA
"1040","É uma votação decisiva para o futuro dos processos de impeachment de Dilma Rousseff (e do próprio Cunha)... #EduardoCunha #impeachment",FALSE,0,NA,2016-02-17 09:49:40,FALSE,NA,"699893464960471040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anchietamaia1",0,FALSE,FALSE,NA,NA
"1041","RT @SANTISTA__SP: Isso é uma vergonha, mais uma safadeza da Dilma e seu governo terrorista https://t.co/gKSayOfCab",FALSE,0,NA,2016-02-17 09:49:36,FALSE,NA,"699893450293059584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SouNeusa_",2,TRUE,FALSE,NA,NA
"1042","Apenas o obvio, bandido sempre defende bandido, ainda mais quando se trata do chefão ! https://t.co/VcCzsIg5pl",FALSE,0,NA,2016-02-17 09:49:31,FALSE,NA,"699893430944690176",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","inter1414",2,FALSE,FALSE,NA,NA
"1043","RT @JRoberto_Castro: Dilma acha que não se recupera mais e quer deixar legado, diz Jaques (via @FR_BSB) https://t.co/0toKZ0XQHY",FALSE,0,NA,2016-02-17 09:49:28,FALSE,NA,"699893415555809280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FCA_Assis",1,TRUE,FALSE,NA,NA
"1044","Hoje é um dia crucial.Se Dilma perder o controle do @PMDB_Nacional na câmara a vaca que apenas tossia será diagnosticada com pneumonia grave",FALSE,0,NA,2016-02-17 09:49:28,FALSE,NA,"699893414977007616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rezendeflavio",0,FALSE,FALSE,NA,NA
"1045","I Support #ForaDilma #ForaPT #Panelaco #LulaNaCadeia➼@br45ilnocorrupt @lobaoeletrico click https://t.co/6nS9s6TxpJ➼ ☞https://t.co/RMfTNc3FSZ",FALSE,0,NA,2016-02-17 09:49:25,FALSE,NA,"699893404528848896",NA,"<a href=""http://justcoz.org"" rel=""nofollow"">justcoz</a>","Leitor1919",0,FALSE,FALSE,NA,NA
"1046","Palmas para a Dna Dilma!!! https://t.co/8kJaWyBxSP",FALSE,0,NA,2016-02-17 09:49:20,FALSE,NA,"699893381342883840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lfsouza10",0,FALSE,FALSE,NA,NA
"1047","RT @JornalOGlobo: Dilma e Cunha jogam pesado para controlar PMDB na Câmara. https://t.co/aLiaJDnhPC https://t.co/aH8KxBWbSS",FALSE,0,NA,2016-02-17 09:49:02,FALSE,NA,"699893307967721472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giovaniguimma",11,TRUE,FALSE,NA,NA
"1048","Dilma Rousseff altera MP e retira punição de empresas envolvidas em escândalos com dinheiro público https://t.co/lXID9eB81d",FALSE,0,NA,2016-02-17 09:48:56,FALSE,NA,"699893283116466176",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ClaudiaBorin",0,FALSE,FALSE,NA,NA
"1049","https://t.co/8fb5hanFS6",FALSE,0,NA,2016-02-17 09:48:44,FALSE,NA,"699893233162260480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wiccka",0,FALSE,FALSE,NA,NA
"1050","Sério oq destrói esse site é: dilma posta foto de biquíni e sua bunda aparece (link)
poooooorrraaaa n suja a time desgraça",FALSE,0,NA,2016-02-17 09:48:44,FALSE,NA,"699893232143114240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Laarissa____",0,FALSE,FALSE,NA,NA
